TEAM;GROUP;SPI;OFF.;DEF.;"1ST
PLACE";"2ND
PLACE";"MAKE
ROUND OF 16";"MAKE QUARTER-
FINALS";"MAKE
SEMI-FINALS";"MAKE
FINAL";"WIN
WORLD CUP";por;code
"
Brazil ";G;93.5;3.2;0.3;72;19;91;69;46;32;33.10;33.10 %;br
"
France ";D;87.7;2.8;0.5;55;27;83;54;33;17;13.10;13.10 %;fr
"
Argentina ";C;87.2;2.6;0.4;60;24;84;53;33;16;13.20;13.20 %;ar
"
Portugal ";H;87.8;2.8;0.5;53;28;81;46;26;15;14.10;14.10 %;pt
"
England ";B;86.0;2.6;0.5;55;25;80;52;29;15;14.05;14.05 %;gb
"
Netherlands ";A;86.0;2.8;0.6;53;26;79;49;27;12;7.10;7.10 %;nl
"
Croatia ";F;78.8;2.3;0.7;28;27;54;21;9;4;4.00;4.00 %;hr
"
Morocco ";F;75.6;2.1;0.7;21;25;46;17;6;3;1.35;1.35 %;mr
